cdm_id,ingredient
1146810,#REF!
2010065,#REF!
42917419,#REF!
2024172,#REF!
42973718,#REF!
42970622,#REF!
42970630,#REF!
42970626,#REF!
42970625,#REF!
1551860,#REF!
42970621,#REF!
41189798,#REF!
42970634,#REF!
42970629,#REF!
42970633,#REF!
41184652,#REF!
43783758,#REF!
1353256,#REF!
40841232,#REF!
43711724,#REF!
766815,#REF!
766816,#REF!
766814,#REF!
19133813,#REF!
19134839,#REF!
19134843,#REF!
19134841,#REF!
42939201,#REF!
961047,#REF!
42955054,#REF!
42939285,#REF!
2028554,#REF!
42939225,#REF!
42921551,#REF!
42955063,#REF!
35773874,#REF!
961266,#REF!
42901617,#REF!
42903460,#REF!
40244449,#REF!
40244445,#REF!
40241334,#REF!
40241331,#REF!
35200880,#REF!
19037684,#REF!
19037642,#REF!
739138,#REF!
1363390,#REF!
1363387,#REF!
42946810,#REF!
42946812,#REF!
42946814,#REF!
1336539,#REF!
44111236,#REF!
42925189,#REF!
1436678,#REF!
42925190,#REF!
19007458,#REF!
44033709,#REF!
42925193,#REF!
21092621,#REF!
21082850,#REF!
21122001,#REF!
2012750,#REF!
42934048,#REF!
42934054,#REF!
2012751,#REF!
1341149,#REF!
42934059,#REF!
2012749,#REF!
1741309,#REF!
42928589,#REF!
42917794,#REF!
42928563,#REF!
2023891,#REF!
2031724,#REF!
42920061,#REF!
42967868,#REF!
42967876,#REF!
2039944,#REF!
19137042,#REF!
42972222,#REF!
42972221,#REF!
703547,#REF!
42971929,#REF!
2025858,#REF!
2052966,#REF!
42971908,#REF!
42971895,#REF!
1707687,#REF!
2052964,#REF!
42971896,#REF!
2052976,#REF!
2052985,#REF!
19079834,#REF!
2011856,#REF!
2011860,#REF!
42956068,#REF!
42956054,#REF!
2054085,#REF!
2054040,#REF!
42956073,#REF!
743670,#REF!
42956058,#REF!
42956025,#REF!
42956019,#REF!
1307863,#REF!
42922095,#REF!
2029646,#REF!
1714304,#REF!
19098454,#REF!
2051349,#REF!
1714277,#REF!
19047527,#REF!
1710612,#REF!
2052721,#REF!
42967484,#REF!
42918994,#REF!
1133201,#REF!
42918996,#REF!
42918995,#REF!
42919507,#REF!
19007262,#REF!
1301267,#REF!
2068874,#REF!
1301292,#REF!
2068873,#REF!
2068872,#REF!
1389036,#REF!
2058657,#REF!
21083803,#REF!
2058655,#REF!
2058659,#REF!
